City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kieta,PG,85.26,few clouds,-6.2167,155.6333,Uruna Bay Retreat
3,Adrar,MR,89.2,clear sky,20.5022,-10.0711,
5,Bac Lieu,VN,82.67,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
18,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
20,Tamandare,BR,75.85,clear sky,-8.7597,-35.1047,Pousada 100 Passos
22,Mulege,MX,89.55,clear sky,26.8833,-111.9833,Casa Granada
26,Sorong,ID,82.54,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
32,Laguna,US,83.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
35,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Atuona,PF,77.58,overcast clouds,-9.8,-139.0333,Villa Enata
43,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
44,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
45,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
52,Alugan,PH,83.46,overcast clouds,12.2188,125.4808,JM Lodge
56,Mandali,IQ,88.77,clear sky,33.7499,45.5541,قرئ الشيخ سحاب الندا
59,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
60,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
61,Dunmore Town,BS,81.82,clear sky,25.5,-76.65,Coral Sands Hotel
62,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
66,Kavaratti,IN,82.24,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
78,Kundian,PK,88.0,broken clouds,32.4587,71.4775,AL YOUSAF ISHTAM & PROPERTY ADVISIOR
81,Ati,TD,81.75,overcast clouds,13.2154,18.3353,
83,Labuhan,ID,80.42,overcast clouds,-6.8844,112.2051,DoubleFAG
86,Celestun,MX,82.65,broken clouds,20.8667,-90.4,Posada Lilia
94,Beinamar,TD,76.75,overcast clouds,8.6698,15.3813,
97,Faanui,PF,79.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
101,Saint Anthony,US,78.04,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
109,Seminole,US,87.21,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
111,Butaritari,KI,82.63,clear sky,3.0707,172.7902,Isles Sunset Lodge
112,Ulaangom,MN,77.38,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
113,Victoria,HK,85.32,overcast clouds,22.2855,114.1577,Mini Central
115,Chippewa Falls,US,77.18,clear sky,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
118,Salalah,OM,81.72,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Touros,BR,76.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
123,Carutapera,BR,75.56,clear sky,-1.195,-46.02,Lidera
126,Acarau,BR,77.16,broken clouds,-2.8856,-40.12,castelo pizzaria
132,Busing,PH,83.71,overcast clouds,13.1514,122.9714,Sunset View Tourist Inn
134,Samarai,PG,83.08,broken clouds,-10.6167,150.6667,Nuli Sapi
135,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
136,Bengkulu,ID,78.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
138,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
140,Zhangye,CN,75.61,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
141,East London,ZA,75.96,overcast clouds,-33.0153,27.9116,Tu Casa
142,Buala,SB,85.24,clear sky,-8.145,159.5921,Maringe Lagoon Lodge
148,Baijiantan,CN,89.92,broken clouds,45.6333,85.1833,
152,Hovd,MN,75.65,clear sky,48.0056,91.6419,Hotel Khovd
153,Banjar,ID,82.42,overcast clouds,-8.19,114.9675,The Hamsa Resort
157,Singapore,SG,78.66,light intensity shower rain,1.2897,103.8501,The Fullerton Hotel Singapore
164,Lorengau,PG,84.9,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
166,Puerto Escondido,MX,80.94,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
169,Barh,IN,87.6,clear sky,25.4833,85.7167,Rasulla
184,Itarema,BR,76.64,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
188,Tessalit,ML,83.95,clear sky,20.1986,1.0114,
189,San Rafael Del Sur,NI,81.57,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
195,Vanimo,PG,84.04,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
205,Marawi,PH,79.39,overcast clouds,7.9986,124.2928,Derogongan Residence
212,Mandan,US,75.18,light rain,46.8267,-100.8896,Twin City Estates
214,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
219,Koungou,YT,76.71,light rain,-12.7336,45.2042,Villa Netibor
220,Bilma,NE,89.82,clear sky,18.6853,12.9164,Expeditions Ténére voyages
222,Eyl,SO,81.01,overcast clouds,7.9803,49.8164,Amiin Hotel
235,Koppal,IN,75.09,overcast clouds,15.35,76.15,Hotel B.S.Pawar Grand
237,Mbini,GQ,76.05,overcast clouds,1.574,9.6134,
240,Tombouctou,ML,86.81,broken clouds,20.0,-3.0,
243,Marzuq,YE,79.27,overcast clouds,14.4,46.4667,
245,Rawlins,US,89.49,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
