City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Neijiang,CN,29.5835,105.0622,73.2,87,100,4.14,overcast clouds,2022-06-13 00:50:06
1,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,6.91,light rain,2022-06-13 00:48:35
2,Kieta,PG,-6.2167,155.6333,85.26,66,18,5.68,few clouds,2022-06-13 00:50:07
3,Adrar,MR,20.5022,-10.0711,89.2,26,1,11.9,clear sky,2022-06-13 00:50:07
4,Barrow,US,71.2906,-156.7887,28.42,93,100,5.75,mist,2022-06-13 00:50:07
5,Bac Lieu,VN,9.285,105.7244,82.67,77,100,6.22,overcast clouds,2022-06-13 00:50:08
6,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,100,10.36,overcast clouds,2022-06-13 00:50:08
7,Hermanus,ZA,-34.4187,19.2345,65.8,77,100,17.05,overcast clouds,2022-06-13 00:50:08
8,Donskoye,RU,45.4552,41.9741,61.47,48,100,7.7,overcast clouds,2022-06-13 00:50:09
9,Rikitea,PF,-23.1203,-134.9692,73.33,68,28,13.6,scattered clouds,2022-06-13 00:50:09
10,Kondinskoye,RU,59.6481,67.41,50.49,95,100,11.77,overcast clouds,2022-06-13 00:50:09
11,Bredasdorp,ZA,-34.5322,20.0403,60.37,65,100,7.05,overcast clouds,2022-06-13 00:50:09
12,Banff,CA,51.1762,-115.5698,61.18,29,96,5.75,overcast clouds,2022-06-13 00:50:10
13,Tasiilaq,GL,65.6145,-37.6368,34.9,99,100,5.19,light snow,2022-06-13 00:50:10
14,Ponta Do Sol,PT,32.6667,-17.1,69.71,82,12,2.17,few clouds,2022-06-13 00:50:10
15,Vila,PT,42.0304,-8.1588,58.69,84,12,4.97,few clouds,2022-06-13 00:50:11
16,Cidreira,BR,-30.1811,-50.2056,51.06,71,39,15.41,scattered clouds,2022-06-13 00:50:11
17,Kautokeino,NO,69.0125,23.0412,48.67,74,96,1.61,overcast clouds,2022-06-13 00:50:11
18,Avarua,CK,-21.2078,-159.775,80.65,65,100,10.36,overcast clouds,2022-06-13 00:50:12
19,Busselton,AU,-33.65,115.3333,59.81,69,100,18.23,overcast clouds,2022-06-13 00:50:12
20,Tamandare,BR,-8.7597,-35.1047,75.85,86,6,3.04,clear sky,2022-06-13 00:50:12
21,Chuy,UY,-33.6971,-53.4616,46.29,93,2,5.84,clear sky,2022-06-13 00:50:13
22,Mulege,MX,26.8833,-111.9833,89.55,46,6,4.72,clear sky,2022-06-13 00:50:13
23,Bereda,ES,43.2686,-7.5406,62.42,96,100,8.3,overcast clouds,2022-06-13 00:50:13
24,Uusikaupunki,FI,60.8004,21.4084,53.67,84,68,11.3,broken clouds,2022-06-13 00:50:14
25,Taoudenni,ML,22.6783,-3.9836,93.94,26,99,9.69,overcast clouds,2022-06-13 00:50:14
26,Sorong,ID,-0.8833,131.25,82.54,74,98,6.49,overcast clouds,2022-06-13 00:50:14
27,Svetlogorsk,BY,52.6333,29.7333,56.03,95,7,6.44,clear sky,2022-06-13 00:50:14
28,Port Alfred,ZA,-33.5906,26.891,74.17,33,100,3.0,overcast clouds,2022-06-13 00:50:15
29,Cape Town,ZA,-33.9258,18.4232,61.21,87,75,24.16,moderate rain,2022-06-13 00:45:55
30,Saint-Philippe,RE,-21.3585,55.7679,69.39,87,99,15.3,moderate rain,2022-06-13 00:50:15
31,Mount Isa,AU,-20.7333,139.5,62.37,31,0,12.66,clear sky,2022-06-13 00:50:15
32,Laguna,US,38.421,-121.4238,83.75,55,0,18.41,clear sky,2022-06-13 00:50:16
33,Sangar,RU,63.9242,127.4739,53.19,78,92,7.76,overcast clouds,2022-06-13 00:50:16
34,Chara,RU,56.9064,118.2631,61.81,46,0,3.33,clear sky,2022-06-13 00:50:16
35,Kapaa,US,22.0752,-159.319,85.98,77,75,14.97,broken clouds,2022-06-13 00:50:17
36,Karpogory,RU,64.0019,44.4451,51.37,63,100,5.82,overcast clouds,2022-06-13 00:50:17
37,Airai,TL,-8.9266,125.4092,66.47,60,77,4.05,broken clouds,2022-06-13 00:50:17
38,Mar Del Plata,AR,-38.0023,-57.5575,50.09,71,0,3.44,clear sky,2022-06-13 00:49:12
39,Atuona,PF,-9.8,-139.0333,77.58,66,95,18.25,overcast clouds,2022-06-13 00:50:18
40,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,14.97,light rain,2022-06-13 00:50:18
41,Hobart,AU,-42.8794,147.3294,49.05,70,20,10.36,few clouds,2022-06-13 00:50:18
42,Codrington,AU,-38.2667,141.9667,54.88,75,98,3.87,overcast clouds,2022-06-13 00:50:19
43,Alofi,NU,-19.0595,-169.9187,82.29,74,24,12.66,few clouds,2022-06-13 00:50:19
44,Cockburn Town,TC,21.4612,-71.1419,82.36,74,40,16.11,scattered clouds,2022-06-13 00:46:36
45,Porto Novo,BJ,6.4965,2.6036,80.42,88,100,5.97,overcast clouds,2022-06-13 00:50:19
46,Sayat,TM,38.7839,63.8803,73.27,26,0,4.74,clear sky,2022-06-13 00:50:20
47,San Cristobal,VE,7.7669,-72.225,71.78,99,100,3.94,overcast clouds,2022-06-13 00:50:20
48,Puerto Ayacucho,VE,5.6639,-67.6236,71.64,97,100,1.41,overcast clouds,2022-06-13 00:50:20
49,Pisco,PE,-13.7,-76.2167,61.02,82,100,3.44,mist,2022-06-13 00:50:21
50,Port Hardy,CA,50.6996,-127.4199,55.58,62,40,16.11,scattered clouds,2022-06-13 00:50:21
51,Ushuaia,AR,-54.8,-68.3,40.66,93,75,8.05,mist,2022-06-13 00:50:21
52,Alugan,PH,12.2188,125.4808,83.46,76,100,6.17,overcast clouds,2022-06-13 00:50:22
53,Carnarvon,AU,-24.8667,113.6333,65.7,65,9,15.1,clear sky,2022-06-13 00:49:05
54,Strezhevoy,RU,60.7333,77.5889,59.43,79,13,7.36,few clouds,2022-06-13 00:45:59
55,Ostrovnoy,RU,68.0531,39.5131,53.26,84,100,8.88,overcast clouds,2022-06-13 00:50:22
56,Mandali,IQ,33.7499,45.5541,88.77,16,0,1.81,clear sky,2022-06-13 00:50:23
